ID_Venda,Data,Dia_da_Semana,ID_Produto,Nome_do_Produto,Quantidade_Vendida,Receita
1,2025-07-05,Sábado,101,Refeição Inteira,160,11184.00
2,2025-07-05,Sábado,103,Aniversariante,8,447.36
3,2025-07-05,Sábado,201,Coca-Cola,45,315.00
4,2025-07-05,Sábado,301,Água sem Gás,20,100.00
5,2025-07-05,Sábado,402,Original,100,1600.00
6,2025-07-05,Sábado,501,Doce de Leite,35,1046.50
7,2025-07-06,Domingo,101,Refeição Inteira,130,9087.00
8,2025-07-06,Domingo,104,Bariátrico,2,111.84
9,2025-07-06,Domingo,202,Guaraná Antarctica,30,210.00
10,2025-07-06,Domingo,302,Água com Gás,15,90.00
11,2025-07-06,Domingo,401,Brahma,80,1120.00
12,2025-07-06,Domingo,502,Doce de Abóbora,25,675.00
13,2025-07-12,Sábado,101,Refeição Inteira,180,12582.00
14,2025-07-12,Sábado,102,Refeição Meia,20,699.00
15,2025-07-12,Sábado,204,H2O Limoneto,20,180.00
16,2025-07-12,Sábado,301,Água sem Gás,25,125.00
17,2025-07-12,Sábado,403,Heineken,120,2160.00
18,2025-07-12,Sábado,503,Doce de Cocada,40,1316.00
19,2025-07-13,Domingo,101,Refeição Inteira,140,9786.00
20,2025-07-13,Domingo,103,Aniversariante,7,391.44
21,2025-07-13,Domingo,203,Fanta Laranja,35,245.00
22,2025-07-13,Domingo,302,Água com Gás,20,120.00
23,2025-07-13,Domingo,401,Brahma,90,1260.00
24,2025-07-13,Domingo,501,Doce de Leite,30,897.00
25,2025-07-19,Sábado,101,Refeição Inteira,195,13630.50
26,2025-07-19,Sábado,102,Refeição Meia,15,524.25
27,2025-07-19,Sábado,201,Coca-Cola,50,350.00
28,2025-07-19,Sábado,301,Água sem Gás,30,150.00
29,2025-07-19,Sábado,402,Original,110,1760.00
30,2025-07-19,Sábado,503,Doce de Cocada,45,1480.50
31,2025-07-20,Domingo,101,Refeição Inteira,155,10834.50
32,2025-07-20,Domingo,104,Bariátrico,3,167.76
33,2025-07-20,Domingo,202,Guaraná Antarctica,40,280.00
34,2025-07-20,Domingo,302,Água com Gás,25,150.00
35,2025-07-20,Domingo,401,Brahma,100,1400.00
36,2025-07-20,Domingo,502,Doce de Abóbora,30,810.00
37,2025-07-26,Sábado,101,Refeição Inteira,200,13980.00
38,2025-07-26,Sábado,103,Aniversariante,10,559.20
39,2025-07-26,Sábado,204,H2O Limoneto,25,225.00
40,2025-07-26,Sábado,301,Água sem Gás,35,175.00
41,2025-07-26,Sábado,403,Heineken,130,2340.00
42,2025-07-26,Sábado,501,Doce de Leite,50,1495.00
43,2025-07-27,Domingo,101,Refeição Inteira,165,11533.50
44,2025-07-27,Domingo,102,Refeição Meia,15,524.25
45,2025-07-27,Domingo,203,Fanta Laranja,40,280.00
46,2025-07-27,Domingo,302,Água com Gás,30,180.00
47,2025-07-27,Domingo,402,Original,110,1760.00
48,2025-07-27,Domingo,502,Doce de Abóbora,40,1080.00
49,2025-08-02,Sábado,101,Refeição Inteira,210,14679.00
50,2025-08-02,Sábado,103,Aniversariante,8,447.36
